rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,checkout_status,rental_id_prev,car_id_prev,checkin_type_prev,state_prev,delay_at_checkout_in_minutes_prev,previous_ended_rental_id_prev,time_delta_with_previous_rental_in_minutes_prev,checkout_status_prev,delay_at_checkin_in_minutes,checkin_status
542222,207728,mobile,ended,156.0,,,Late,,,,,,,,,,
542300,307595,mobile,ended,,539897.0,30.0,Unknown,539897.0,307595.0,mobile,ended,,,,Unknown,,
542336,374400,mobile,canceled,,,,Unknown,,,,,,,,,,
542339,322005,mobile,ended,12.0,,,Late,,,,,,,,,,
542374,409676,mobile,ended,50.0,540444.0,180.0,Late,540444.0,409676.0,mobile,ended,131.0,,,Late,-49.0,In time
542400,315909,mobile,ended,-7.0,,,In time,,,,,,,,,,
542413,409980,mobile,canceled,,,,Unknown,,,,,,,,,,
542520,401751,mobile,ended,183.0,,,Late,,,,,,,,,,
542549,221978,mobile,canceled,,,,Unknown,,,,,,,,,,
542661,391512,mobile,ended,-170.0,,,In time,,,,,,,,,,
542894,218964,mobile,ended,-36.0,,,In time,,,,,,,,,,
542942,358082,connect,ended,-106.0,,,In time,,,,,,,,,,
543012,393044,mobile,ended,9.0,,,Late,,,,,,,,,,
543050,379428,mobile,ended,-21.0,,,In time,,,,,,,,,,
543088,200316,mobile,ended,64.0,,,Late,,,,,,,,,,
543150,410052,mobile,ended,23.0,,,Late,,,,,,,,,,
543180,350521,mobile,ended,14.0,,,Late,,,,,,,,,,
543186,395671,mobile,ended,5.0,,,Late,,,,,,,,,,
543251,409296,mobile,ended,-18.0,,,In time,,,,,,,,,,
543257,389929,mobile,ended,,,,Unknown,,,,,,,,,,
543287,377312,mobile,ended,12.0,,,Late,,,,,,,,,,
543321,371572,connect,ended,48.0,,,Late,,,,,,,,,,
543328,358772,connect,ended,-9.0,552619.0,240.0,In time,552619.0,358772.0,connect,ended,-38.0,,,In time,,
543437,409808,mobile,ended,-57.0,,,In time,,,,,,,,,,
543443,356551,connect,ended,-529.0,,,In time,,,,,,,,,,
543614,378939,mobile,ended,-1087.0,,,In time,,,,,,,,,,
543676,390481,mobile,ended,-53.0,,,In time,,,,,,,,,,
543679,225795,connect,ended,64.0,540663.0,540.0,Late,540663.0,225795.0,connect,ended,60.0,,,Late,-480.0,In time
543681,368432,mobile,ended,2.0,,,Late,,,,,,,,,,
543761,294189,mobile,ended,24.0,,,Late,,,,,,,,,,
543768,374169,connect,canceled,,543010.0,210.0,Unknown,543010.0,374169.0,connect,ended,42.0,536789.0,120.0,Late,-168.0,In time
543780,319708,mobile,ended,55.0,,,Late,,,,,,,,,,
543808,369230,mobile,ended,75.0,536315.0,60.0,Late,536315.0,369230.0,mobile,ended,-191.0,536343.0,720.0,In time,,
543879,270665,mobile,ended,,,,Unknown,,,,,,,,,,
543906,401666,mobile,ended,,,,Unknown,,,,,,,,,,
543984,313085,mobile,ended,-44.0,,,In time,,,,,,,,,,
544164,301301,connect,ended,-244.0,,,In time,,,,,,,,,,
544197,387939,connect,ended,39.0,,,Late,,,,,,,,,,
544443,337047,mobile,ended,56.0,,,Late,,,,,,,,,,
544489,405565,mobile,canceled,,,,Unknown,,,,,,,,,,
544586,312389,mobile,ended,31.0,,,Late,,,,,,,,,,
544617,367627,mobile,ended,-23.0,,,In time,,,,,,,,,,
544642,176755,mobile,canceled,,,,Unknown,,,,,,,,,,
544763,394781,mobile,ended,233.0,,,Late,,,,,,,,,,
544777,387810,connect,ended,50.0,,,Late,,,,,,,,,,
544937,348400,mobile,ended,108.0,,,Late,,,,,,,,,,
544967,373545,mobile,ended,56.0,,,Late,,,,,,,,,,
544980,350135,mobile,ended,-2.0,,,In time,,,,,,,,,,
545064,194343,connect,ended,74.0,,,Late,,,,,,,,,,
545068,374684,mobile,ended,-31.0,,,In time,,,,,,,,,,
545171,292910,mobile,ended,7.0,,,Late,,,,,,,,,,
545202,367365,connect,canceled,,,,Unknown,,,,,,,,,,
545272,370585,connect,ended,-98.0,,,In time,,,,,,,,,,
545319,353251,mobile,ended,93.0,,,Late,,,,,,,,,,
